,City,Country,Date,Cloudiness,Humidity,Lat,Lng,Temperature (F),Wind Speed
0,airai,TL,1553902687,8,87,-8.93,125.41,75.22,1.28
1,champerico,MX,1553899320,40,34,16.38,-93.6,93.2,12.75
2,upernavik,GL,1553902688,0,91,72.79,-56.15,8.98,9.66
3,yellowknife,CA,1553902375,90,73,62.45,-114.38,27.25,8.05
4,viransehir,TR,1553902688,100,99,37.24,39.76,48.85,7.31
5,faanui,PF,1553902688,0,100,-16.48,-151.75,84.4,7.99
6,klaksvik,FO,1553899800,80,91,62.23,-6.59,37.4,11.41
7,santa marta,CO,1553902543,75,66,11.24,-74.21,84.43,18.34
8,rebra,RO,1553902640,0,93,47.33,24.5,29.82,2.62
9,qaanaaq,GL,1553902689,24,78,77.48,-69.36,-8.66,8.77
10,salalah,OM,1553899800,0,78,17.01,54.1,77.0,4.7
11,lompoc,US,1553902577,1,48,34.64,-120.46,64.9,16.11
12,te anau,NZ,1553902689,0,57,-45.41,167.72,65.05,3.4
13,halifax,CA,1553902566,90,93,44.65,-63.58,40.46,10.29
14,los llanos de aridane,ES,1553902502,20,63,28.66,-17.92,56.28,8.05
15,albany,US,1553902504,90,76,42.65,-73.75,45.21,6.93
16,atuona,PF,1553902690,44,100,-9.8,-139.03,82.51,12.24
17,khatanga,RU,1553902690,44,80,71.98,102.47,19.51,4.52
18,nikolskoye,RU,1553902536,0,86,59.7,30.79,38.23,11.18
19,hailar,CN,1553902690,0,42,49.2,119.7,16.72,5.75
20,punta arenas,CL,1553902347,75,71,-53.16,-70.91,50.0,18.34
21,rio gallegos,AR,1553900400,0,54,-51.62,-69.22,53.6,20.8
22,puerto ayora,EC,1553902313,20,78,-0.74,-90.35,81.7,9.17
23,thompson,CA,1553900400,20,45,55.74,-97.86,23.0,13.87
24,busselton,AU,1553902523,0,46,-33.64,115.35,53.6,16.82
25,yulara,AU,1553900400,0,51,-25.24,130.99,60.8,14.99
26,ushuaia,AR,1553900400,75,75,-54.81,-68.31,44.6,11.41
27,georgetown,GY,1553900400,20,88,6.8,-58.16,78.8,6.93
28,rawalpindi,PK,1553902637,80,66,33.6,73.06,68.0,3.0
29,la macarena,CO,1553902693,24,85,2.18,-73.79,76.48,2.06
30,mahebourg,MU,1553902444,40,88,-20.41,57.7,75.09,4.7
31,port alfred,ZA,1553902693,0,92,-33.59,26.89,69.19,12.91
32,hamilton,CA,1553902585,75,49,43.26,-79.87,48.6,10.29
33,saint-philippe,CA,1553902663,90,88,45.36,-73.48,38.64,5.82
34,moree,AU,1553902222,90,78,-29.46,149.84,68.88,13.87
35,avarua,CK,1553900400,88,83,-21.21,-159.78,78.8,3.36
36,kashirskoye,RU,1553900400,90,100,51.42,39.61,33.8,4.47
37,comodoro rivadavia,AR,1553900400,0,37,-45.87,-67.48,69.8,26.4
38,kaitangata,NZ,1553902587,0,66,-46.28,169.85,62.01,3.0
39,farsund,NO,1553902530,92,89,58.09,6.8,44.01,14.0
40,saint-leu,RE,1553902281,40,65,-21.15,55.28,74.8,3.36
41,fortuna,ES,1553902652,75,66,38.18,-1.13,45.84,6.93
42,bluff,AU,1553902696,80,100,-23.58,149.07,77.38,7.43
43,hofn,IS,1553902631,68,100,64.25,-15.21,30.94,24.87
44,rikitea,PF,1553902696,88,95,-23.12,-134.97,80.44,24.65
45,arraial do cabo,BR,1553900400,40,94,-22.97,-42.02,69.8,8.77
46,bambous virieux,MU,1553902444,40,88,-20.34,57.76,75.09,4.7
47,saldanha,PT,1553902700,0,68,41.42,-6.55,39.67,2.17
48,barrow,AR,1553902700,0,65,-38.31,-60.23,71.26,13.13
49,mopti,ML,1553902700,0,47,14.49,-4.19,78.64,5.86
50,ponta do sol,BR,1553902700,80,55,-20.63,-46.0,75.22,9.33
51,calvinia,ZA,1553902700,0,63,-31.47,19.78,49.66,2.62
52,ekhabi,RU,1553902701,24,93,53.51,142.97,14.83,9.22
53,mayo,CA,1553901300,75,42,63.59,-135.9,48.2,4.7
54,rocha,UY,1553902701,64,85,-34.48,-54.34,67.39,10.56
55,alice springs,AU,1553900400,0,42,-23.7,133.88,66.2,14.99
56,lebu,ET,1553896800,5,51,8.96,38.73,60.8,6.93
57,butaritari,KI,1553902702,64,100,3.07,172.79,83.41,22.75
58,chaiyaphum,TH,1553902702,0,91,15.81,102.03,70.09,2.73
59,praia,BR,1553900400,0,64,-20.25,-43.81,72.45,6.93
60,yadrin,RU,1553902702,24,73,55.94,46.2,19.96,9.66
61,cabatuan,PH,1553902703,20,80,16.95,121.67,77.83,3.4
62,aloleng,PH,1553902703,0,90,16.13,119.78,81.7,4.18
63,tuktoyaktuk,CA,1553900400,20,92,69.44,-133.03,26.6,21.92
64,mataura,NZ,1553902209,0,98,-46.19,168.86,61.0,4.63
65,cabo san lucas,MX,1553902274,5,28,22.89,-109.91,80.55,13.87
66,kodiak,US,1553902632,90,100,39.95,-94.76,42.48,13.87
67,spirit river,CA,1553902639,40,46,55.78,-118.84,52.03,3.36
68,bose,IT,1553902688,0,56,45.46,8.01,45.18,2.24
69,hilo,US,1553902528,1,65,19.71,-155.08,76.14,9.17
70,santa cruz,US,1553902698,1,59,36.97,-122.03,61.66,9.17
71,kokstad,ZA,1553902706,0,86,-30.55,29.42,47.59,2.17
72,college,US,1553902615,40,64,64.86,-147.8,41.25,3.96
73,russell,AR,1553900400,0,41,-33.01,-68.8,77.0,4.7
74,dikson,RU,1553902707,56,96,73.51,80.55,24.64,22.3
75,leningradskiy,RU,1553902710,68,100,69.38,178.42,9.52,12.57
76,caravelas,BR,1553902710,0,100,-17.73,-39.27,81.43,18.84
77,vila franca do campo,PT,1553902689,40,76,37.72,-25.43,53.44,5.82
78,klyuchi,RU,1553902711,12,93,52.25,79.17,38.86,9.78
79,new norfolk,AU,1553902694,75,58,-42.78,147.06,55.08,5.82
80,clyde river,CA,1553900700,90,83,70.47,-68.59,-4.01,20.8
81,goderich,CA,1553902711,32,57,43.74,-81.71,35.11,3.0
82,pevek,RU,1553902506,20,87,69.7,170.27,4.48,0.94
83,sur,OM,1553902712,0,89,22.57,59.53,75.58,1.72
84,jamestown,AU,1553902712,0,50,-33.21,138.6,56.59,12.91
85,parrita,CR,1553902691,40,64,9.52,-84.33,71.6,13.87
86,dingle,PH,1553902713,12,75,11.0,122.67,78.28,8.55
87,punto fijo,VE,1553902713,68,69,11.69,-70.21,83.14,16.93
88,kichera,RU,1553902713,20,68,55.93,110.1,5.47,1.61
89,praia da vitoria,PT,1553902302,20,76,38.73,-27.07,57.09,7.2
90,arman,RU,1553902713,0,64,59.7,150.17,19.51,10.56
91,port elizabeth,US,1553902695,20,55,39.31,-74.98,58.33,6.76
92,goya,AR,1553902714,0,77,-29.14,-59.27,74.59,5.41
93,isangel,VU,1553900400,40,66,-19.55,169.27,87.8,13.87
94,naifaru,MV,1553902714,0,100,5.44,73.37,83.5,5.19
95,amarpur,IN,1553902714,8,88,23.52,91.65,67.48,3.62
96,margate,AU,1553902694,75,58,-43.03,147.26,55.08,5.82
97,axim,GH,1553902715,0,95,4.87,-2.24,84.04,10.78
98,castro,CL,1553900400,90,93,-42.48,-73.76,51.8,14.99
99,kiama,AU,1553902631,90,100,-34.67,150.86,64.42,8.05
100,pryozerne,UA,1553900400,0,100,49.42,24.47,35.6,2.24
101,saskylakh,RU,1553902716,0,78,71.97,114.09,14.29,10.0
102,chokurdakh,RU,1553902716,88,91,70.62,147.9,17.89,11.79
103,longyearbyen,NO,1553899800,75,73,78.22,15.63,24.8,14.99
104,hobart,AU,1553902575,75,58,-42.88,147.33,55.06,5.82
105,slyudyanka,RU,1553902507,48,37,51.66,103.72,21.99,10.0
106,verkhnevilyuysk,RU,1553902716,80,76,63.45,120.31,17.98,2.39
107,bredasdorp,ZA,1553902258,92,88,-34.53,20.04,59.88,5.82
108,atherton,GB,1553902698,12,86,53.52,-2.49,41.2,2.62
109,cape town,ZA,1553902390,20,88,-33.93,18.42,63.95,3.36
110,esperance,TT,1553902507,20,78,10.24,-61.45,79.92,8.05
111,sao filipe,CV,1553902717,0,96,14.9,-24.5,70.72,18.72
112,gazanjyk,TM,1553902717,88,94,39.24,55.52,43.18,3.62
113,alofi,NU,1553900400,75,83,-19.06,-169.92,82.4,11.41
114,severo-kurilsk,RU,1553902718,20,97,50.68,156.12,30.67,15.82
115,ancud,CL,1553900400,90,93,-41.87,-73.83,51.8,14.99
116,kapaa,US,1553902413,90,60,22.08,-159.32,72.66,12.75
117,cayenne,GF,1553900400,0,74,4.94,-52.33,80.6,9.17
118,kerchevskiy,RU,1553902719,76,100,59.95,56.29,28.78,7.43
119,tripoli,GR,1553902545,20,49,37.51,22.37,45.86,6.93
120,palmer,US,1553902564,1,45,61.6,-149.11,45.97,3.36
121,teya,MX,1553902271,5,40,21.05,-89.07,85.82,6.93
122,carutapera,BR,1553902719,76,98,-1.2,-46.02,77.92,4.74
123,luderitz,NA,1553902720,76,89,-26.65,15.16,62.17,12.46
124,gemena,CD,1553902720,24,83,3.25,19.78,74.68,2.06
125,benghazi,LY,1553902720,64,100,32.12,20.07,58.66,21.18
126,birjand,IR,1553900400,0,76,32.86,59.22,41.0,6.93
127,nanortalik,GL,1553902720,92,97,60.14,-45.24,32.02,9.66
128,cidreira,BR,1553902720,76,78,-30.17,-50.22,71.8,17.6
129,ewo,CG,1553902721,56,89,-0.88,14.81,72.97,3.06
130,san patricio,PY,1553902721,0,79,-26.98,-56.83,76.66,3.18
131,hermanus,ZA,1553902263,68,96,-34.42,19.24,61.86,2.62
132,biak,ID,1553902721,88,100,-0.91,122.88,77.74,3.4
133,the valley,AI,1553902274,20,69,18.22,-63.06,77.97,3.36
134,okhotsk,RU,1553902722,0,74,59.36,143.24,23.74,6.08
135,paita,PE,1553896800,75,290,-5.09,-81.11,62.6,7.54
136,paramonga,PE,1553902722,44,95,-10.68,-77.82,68.83,7.43
137,half moon bay,US,1553902688,1,71,37.46,-122.43,60.48,12.75
138,ulety,RU,1553902722,0,62,51.36,112.48,15.28,3.74
139,straumen,NO,1553902517,75,86,63.87,11.3,36.41,20.8
140,tateyama,JP,1553902588,90,86,36.66,137.31,45.37,2.24
141,sechura,PE,1553902723,8,74,-5.56,-80.82,75.4,6.08
142,tasiilaq,GL,1553899800,44,57,65.61,-37.64,17.6,1.12
143,tolaga bay,NZ,1553902723,68,95,-38.37,178.3,65.5,5.19
144,inhambane,MZ,1553902723,80,100,-23.87,35.38,74.59,6.76
145,sriperumbudur,IN,1553900400,20,88,12.97,79.95,80.6,2.24
146,shimoda,JP,1553900400,75,81,34.7,138.93,50.0,14.99
147,peleduy,RU,1553902724,80,87,59.63,112.75,22.48,3.85
148,vaini,IN,1553902724,0,92,15.34,74.49,66.94,1.72
149,talavera de la reina,ES,1553902724,0,74,39.96,-4.83,36.43,3.74
150,tiksi,RU,1553902725,8,76,71.64,128.87,19.06,15.14
151,chernyshevskiy,RU,1553902725,80,89,63.01,112.47,24.1,4.18
152,itarema,BR,1553902725,80,99,-2.92,-39.92,73.78,2.95
153,hit,IQ,1553902725,92,21,33.64,42.83,71.71,5.64
154,port lincoln,AU,1553902725,64,88,-34.72,135.86,61.36,16.26
155,tuy hoa,VN,1553902726,48,97,13.08,109.3,75.67,5.75
156,sosnovoborsk,RU,1553900400,0,85,56.12,93.34,24.8,4.47
157,chipata,ZM,1553902726,0,80,-13.64,32.65,63.88,7.43
158,xai-xai,MZ,1553902726,32,94,-25.04,33.64,78.37,13.47
159,ribeira grande,PT,1553902726,88,100,38.52,-28.7,59.2,7.65
160,dudinka,RU,1553902727,76,93,69.41,86.18,27.16,11.23
161,bethel,US,1553900160,1,60,60.79,-161.76,42.8,10.29
162,ixtapa,MX,1553902516,5,69,20.71,-105.21,77.0,13.87
163,hue,VN,1553900400,75,100,16.47,107.58,77.0,1.12
